smiles,Formula,Mass,HOFs,Td,Ro,D(km/s),P(GPa),Q(J/g),V(L/kg),T(K)
Nc1nnn2c([N+](=O)[O-])c(C=N[N+](=O)[O-])c3nc4c(=O)n([N+](=O)[O-])c(=O)n([N+](=O)[O-])c4nc3c12,C11H3N13O10,477.2,482.6 ,241.5 ,1.899 ,7.98 ,29.7,5279,574,3035
Nn1c(=O)c2c(n(C=N[N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-])n([N+](=O)[O-])c1=O,C7H4N10O9,372.2,-53.4 ,214.7 ,1.847 ,7.98 ,29.2,4861,631,3072
Nn1c(=O)c2c(n(C=N[N+](=O)[O-])c1=O)n([N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],C7H4N10O9,372.2,-47.4 ,213.2 ,1.845 ,7.98 ,29.2,4877,631,3082
Nn1nc(C=N[N+](=O)[O-])c2c(N[N+](=O)[O-])c3c([N+](=O)[O-])nn(C=N[N+](=O)[O-])c3nc21,C9H5N13O8,423.2,666.2 ,203.6 ,1.819 ,7.98 ,28.9,5564,621,3460
O=c1c2c(C=N[N+](=O)[O-])n[nH]c2nc2n(C=N[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,C9H3N11O9,409.2,337.1 ,206.3 ,1.866 ,7.97 ,29.4,5320,588,3131
Nn1c(=O)n(C=N[N+](=O)[O-])c2c(=O)n([N+](=O)[O-])c(=O)n(C=N[N+](=O)[O-])c21,C7H4N10O9,372.2,-68.1 ,206.9 ,1.852 ,7.97 ,29.2,4822,631,3047
Nc1c2c(C=N[N+](=O)[O-])nn(C=N[N+](=O)[O-])c2nc2c1c([N+](=O)[O-])nn2N[N+](=O)[O-],C9H5N13O8,423.2,580.3 ,199.5 ,1.843 ,7.97 ,29.2,5361,621,3334
NN=c1c2nc(C=N[N+](=O)[O-])nc([N+](=O)[O-])c2nc([N+](=O)[O-])n1C=N[N+](=O)[O-],C8H4N12O8,396.2,439.5 ,204.5 ,1.828 ,7.97 ,29,5314,621,3305
O=c1c2cnn(C=N[N+](=O)[O-])c2nc2n([N+](=O)[O-])c(C=N[N+](=O)[O-])c([N+](=O)[O-])n12,C9H3N11O9,409.2,497.2 ,199.8 ,1.819 ,7.97 ,28.9,5711,588,3361
Nn1c([N+](=O)[O-])nc2c(C=N[N+](=O)[O-])nc([N+](=O)[O-])nc21,C6H3N9O6,297.1,387.0 ,218.5 ,1.805 ,7.97 ,28.8,5507,621,3425
Nc1nn(N[N+](=O)[O-])c2nc([N+](=O)[O-])n3c(=O)[nH]c(=O)n3c12,C6H4N10O6,312.2,108.9 ,239.7 ,1.926 ,7.97 ,29.9,4424,645,2857
O=[N+]([O-])N=Cc1nc2c([N+](=O)[O-])n3nc([N+](=O)[O-])nc3nc2o1,C7HN9O7,323.1,345.8 ,223.4 ,1.862 ,7.97 ,29.3,5404,571,3090
NN=c1c2c(nc(N)n1N)n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],C5H6N10O5,286.2,220.9 ,238.7 ,1.841 ,7.97 ,29.1,4689,704,3303
Nn1cc2c([N+](=O)[O-])nn([N+](=O)[O-])c(=O)c2n1,C5H3N7O5,241.1,231.2 ,268.3 ,1.829 ,7.97 ,29,5324,627,3338
NN=c1c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c2nc(N)n1[N+](=O)[O-],C6H5N11O6,327.2,375.3 ,212.6 ,1.811 ,7.97 ,28.9,5105,667,3408
Nn1nc2c(C=N[N+](=O)[O-])n[nH]c(=NN[N+](=O)[O-])c2n1,C5H5N11O4,283.2,539.0 ,210.6 ,1.809 ,7.97 ,28.8,5086,692,3520
N=c1c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c2ncn1[N+](=O)[O-],C6H3N9O6,297.1,386.9 ,207.1 ,1.805 ,7.97 ,28.8,5506,621,3424
Nn1c(=O)n([N+](=O)[O-])c2c(=O)n(N[N+](=O)[O-])c(=O)[nH]c21,C5H4N8O7,288.1,-227.8 ,213.2 ,1.890 ,7.97 ,29.6,4308,660,2846
Nn1[nH]c(=O)c2c([N+](=O)[O-])nn([N+](=O)[O-])c2c1=O,C5H3N7O6,257.1,-34.9 ,251.0 ,1.877 ,7.97 ,29.5,4723,631,2983
NN=c1c2[nH]cnc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H4N8O5,256.1,175.2 ,232.7 ,1.858 ,7.97 ,29.3,4882,655,3202
NN=c1c2[nH]cnc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H4N8O5,256.1,175.2 ,232.7 ,1.858 ,7.97 ,29.3,4882,655,3202
O=[N+]([O-])N=Cc1nc([N+](=O)[O-])c2[nH]c([N+](=O)[O-])nc2n1,C6H2N8O6,282.1,286.5 ,212.4 ,1.848 ,7.97 ,29.2,5363,595,3193
O=c1cc([N+](=O)[O-])c2n[nH]nc2n1N[N+](=O)[O-],C5H3N7O5,241.1,195.2 ,225.6 ,1.848 ,7.97 ,29.2,5175,627,3245
O=[N+]([O-])Nc1c2cn[nH]c2nc2c1c([N+](=O)[O-])nn2N[N+](=O)[O-],C7H4N10O6,324.2,470.7 ,203.0 ,1.847 ,7.97 ,29.2,5376,621,3343
O=[N+]([O-])N=Cc1c2cnn([N+](=O)[O-])c2nc2c1c([N+](=O)[O-])nn2C=N[N+](=O)[O-],C9H3N11O8,393.2,631.0 ,210.6 ,1.832 ,7.97 ,29,5783,583,3377
Nc1nc(C=N[N+](=O)[O-])nc2c1nc([N+](=O)[O-])n2[N+](=O)[O-],C6H3N9O6,297.1,383.6 ,202.7 ,1.806 ,7.97 ,28.8,5495,621,3417
Nn1c(=O)n(C=N[N+](=O)[O-])c2c1c(=O)n([N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],C7H4N10O9,372.2,-81.3 ,199.7 ,1.856 ,7.97 ,29.3,4786,631,3025
N=c1c2nn(N)nc2c([N+](=O)[O-])nn1C=N[N+](=O)[O-],C5H4N10O4,268.2,538.4 ,232.1 ,1.806 ,7.97 ,28.8,5284,668,3531
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])c2c1nnn1cc([N+](=O)[O-])nc21,C7H2N10O6,322.2,688.5 ,229.8 ,1.800 ,7.97 ,28.7,5944,591,3513
O=c1[nH][nH]c(=O)c2c1c([N+](=O)[O-])nn2N[N+](=O)[O-],C5H3N7O6,257.1,-73.3 ,221.8 ,1.898 ,7.97 ,29.6,4574,631,2889
Nc1c([N+](=O)[O-])n(N[N+](=O)[O-])c2nc3[nH]nc([N+](=O)[O-])c3c(=O)n12,C7H4N10O7,340.2,204.8 ,234.2 ,1.879 ,7.97 ,29.5,4920,625,3078
Nn1c(=O)c2[nH]nc(N[N+](=O)[O-])c2c(=O)n1[N+](=O)[O-],C5H4N8O6,272.1,11.9 ,215.7 ,1.852 ,7.97 ,29.2,4719,658,3107
O=[N+]([O-])N=CN=c1[nH]c([N+](=O)[O-])nc2[nH]c([N+](=O)[O-])nc12,C6H3N9O6,297.1,286.4 ,227.1 ,1.845 ,7.97 ,29.2,5168,621,3214
Nc1nc([N+](=O)[O-])c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c2n1,C6H3N9O6,297.1,343.2 ,209.3 ,1.821 ,7.97 ,28.9,5360,621,3333
Nc1nc2c(c(=NC=N[N+](=O)[O-])n1[N+](=O)[O-])n(N)c(=O)n2[N+](=O)[O-],C6H5N11O7,343.2,200.7 ,206.0 ,1.813 ,7.97 ,28.8,4932,669,3299
Nn1c(C=N[N+](=O)[O-])nc2nc([N+](=O)[O-])nc([N+](=O)[O-])c21,C6H3N9O6,297.1,367.4 ,223.2 ,1.812 ,7.97 ,28.8,5441,621,3384
Nn1nc([N+](=O)[O-])c2c1c(=O)[nH]c(=O)n2[N+](=O)[O-],C5H3N7O6,257.1,-75.2 ,247.7 ,1.898 ,7.97 ,29.6,4566,631,2884
Nc1nn([N+](=O)[O-])c(=O)n2c([N+](=O)[O-])cnc12,C5H3N7O5,241.1,149.3 ,230.9 ,1.871 ,7.97 ,29.4,4984,627,3125
O=c1c2[nH]nc([N+](=O)[O-])c2cnn1[N+](=O)[O-],C5H2N6O5,226.1,161.6 ,267.3 ,1.868 ,7.97 ,29.3,5269,594,3132
Nc1nc2c3nc([N+](=O)[O-])n(N)c3nc([N+](=O)[O-])n2c1[N+](=O)[O-],C7H4N10O6,324.2,427.9 ,320.4 ,1.862 ,7.97 ,29.3,5244,621,3261
Nc1nc([N+](=O)[O-])nc2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c12,C6H3N9O6,297.1,351.2 ,209.0 ,1.818 ,7.97 ,28.9,5386,621,3350
Nn1c(=O)n(N[N+](=O)[O-])c(=O)c2nc3c(nc21)c(=O)n([N+](=O)[O-])c(=O)n3[N+](=O)[O-],C8H3N11O10,413.2,-74.8 ,203.9 ,1.881 ,7.97 ,29.5,4748,609,2896
O=[N+]([O-])Nc1nn([N+](=O)[O-])c2nc3[nH]nc([N+](=O)[O-])c3cc12,C7H3N9O6,309.2,430.3 ,226.7 ,1.864 ,7.97 ,29.3,5433,597,3247
O=c1c2[nH]ncc2c([N+](=O)[O-])nn1N[N+](=O)[O-],C5H3N7O5,241.1,174.7 ,206.4 ,1.857 ,7.97 ,29.2,5090,627,3191
Nn1c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n1c([N+](=O)[O-])cnc21,C7H3N9O6,309.2,454.2 ,300.5 ,1.854 ,7.97 ,29.2,5510,597,3294
O=[N+]([O-])c1nn([N+](=O)[O-])c2nc3c(cnn3[N+](=O)[O-])cc12,C7H2N8O6,294.1,482.6 ,306.9 ,1.849 ,7.97 ,29.2,5811,571,3318
Nc1nc2nc([N+](=O)[O-])nc([N+](=O)[O-])c2n1C=N[N+](=O)[O-],C6H3N9O6,297.1,338.6 ,209.3 ,1.823 ,7.97 ,28.9,5344,621,3323
Nn1nnc2nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c(=O)c21,C5H3N9O5,269.1,354.8 ,200.1 ,1.808 ,7.97 ,28.8,5229,645,3373
NN=c1c2nn(C=N[N+](=O)[O-])nc2c([N+](=O)[O-])nn1N,C5H5N11O4,283.2,555.5 ,248.9 ,1.800 ,7.97 ,28.7,5144,692,3561
Nc1c([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])nn2c1=O,C5H3N7O5,241.1,86.3 ,289.6 ,1.906 ,7.97 ,29.7,4723,627,2961
O=[N+]([O-])c1nc2c(nc([N+](=O)[O-])n3c([N+](=O)[O-])cnc23)[nH]1,C7H2N8O6,294.1,368.4 ,293.4 ,1.894 ,7.97 ,29.6,5422,571,3097
Nc1nn(N)c2c1c(=O)n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],C5H4N8O6,272.1,-42.9 ,243.1 ,1.880 ,7.97 ,29.5,4517,658,2974
Nn1nc(N[N+](=O)[O-])c2c(=O)n3c([N+](=O)[O-])c([N+](=O)[O-])[nH]c3nc21,C7H4N10O7,340.2,218.1 ,261.8 ,1.873 ,7.97 ,29.4,4959,625,3102
Nc1nc2c(c(C=N[N+](=O)[O-])c([N+](=O)[O-])n2[N+](=O)[O-])c2nnnn12,C7H3N11O6,337.2,598.1 ,204.4 ,1.827 ,7.97 ,29,5479,614,3367
Nn1c([N+](=O)[O-])nc2c1c(=O)nc(C=N[N+](=O)[O-])n2[N+](=O)[O-],C6H3N9O7,313.1,216.6 ,201.1 ,1.802 ,7.97 ,28.7,5310,625,3323
O=c1c2cnn(N[N+](=O)[O-])c2nc2[nH]c([N+](=O)[O-])c([N+](=O)[O-])n12,C7H3N9O7,325.2,207.7 ,251.6 ,1.879 ,7.97 ,29.4,5086,602,3066
Nn1c(=O)n(N[N+](=O)[O-])c(=O)c2[nH]nc([N+](=O)[O-])c21,C5H4N8O6,272.1,-31.2 ,232.1 ,1.874 ,7.97 ,29.4,4560,658,3003
Nc1nn2c(=O)n([N+](=O)[O-])nc([N+](=O)[O-])c2c1N,C5H4N8O5,256.1,145.6 ,263.5 ,1.872 ,7.97 ,29.4,4766,655,3126
Nn1c(=O)c2c(c(C=N[N+](=O)[O-])nn2C=N[N+](=O)[O-])n([N+](=O)[O-])c1=O,C7H4N10O8,356.2,128.3 ,203.4 ,1.840 ,7.97 ,29.1,5037,628,3168
Nn1c([N+](=O)[O-])c([N+](=O)[O-])c2c1nc(C=N[N+](=O)[O-])n1nnnc21,C7H3N11O6,337.2,610.8 ,224.5 ,1.823 ,7.97 ,28.9,5517,614,3390
NN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n1N,C6H5N11O6,327.2,405.6 ,215.4 ,1.798 ,7.97 ,28.7,5198,667,3469
O=c1c2c([N+](=O)[O-])n[nH]c2nc2[nH]c([N+](=O)[O-])c(N[N+](=O)[O-])n12,C7H3N9O7,325.2,175.9 ,219.8 ,1.891 ,7.97 ,29.5,4989,602,3007
Nc1c2c([N+](=O)[O-])n[nH]c(=O)c2nn1[N+](=O)[O-],C5H3N7O5,241.1,152.4 ,250.5 ,1.868 ,7.97 ,29.3,4997,627,3133
Nc1[nH]nc2c(=O)n(N[N+](=O)[O-])nc([N+](=O)[O-])c12,C5H4N8O5,256.1,166.4 ,223.3 ,1.860 ,7.97 ,29.2,4848,655,3180
Nn1ncc2c(=O)n3c([N+](=O)[O-])c(N[N+](=O)[O-])n([N+](=O)[O-])c3nc21,C7H4N10O7,340.2,312.5 ,219.7 ,1.837 ,7.97 ,29,5237,625,3276
Nn1nc(C=N[N+](=O)[O-])c2c(C=N[N+](=O)[O-])c([N+](=O)[O-])nn2c1=O,C7H4N10O7,340.2,341.0 ,214.7 ,1.826 ,7.97 ,28.9,5321,625,3328
O=c1[nH]c2nc3c(nc2c(=O)n1[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n1nnc(C=N[N+](=O)[O-])c31,C11H2N12O10,462.2,470.2 ,228.8 ,1.903 ,7.96 ,29.6,5374,557,2995
Nc1n[nH]c2c(=O)n([N+](=O)[O-])nc(N[N+](=O)[O-])c12,C5H4N8O5,256.1,172.9 ,203.6 ,1.857 ,7.96 ,29.2,4873,655,3196
Nn1c(=O)c2c(n(N)c(=O)n2N[N+](=O)[O-])n(N[N+](=O)[O-])c1=O,C5H6N10O7,318.2,-146.6 ,202.3 ,1.853 ,7.96 ,29.2,4300,704,3027
O=[N+]([O-])N=Cc1nnc2[nH]nc([N+](=O)[O-])c2n1,C5H2N8O4,238.1,528.8 ,210.3 ,1.808 ,7.96 ,28.8,5718,611,3496
Nn1c([N+](=O)[O-])nc2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c2c1=O,C6H3N9O7,313.1,223.4 ,218.8 ,1.799 ,7.96 ,28.7,5332,625,3337
Nc1nn([N+](=O)[O-])c2c(=O)[nH]n([N+](=O)[O-])c(=O)c12,C5H3N7O6,257.1,-64.7 ,221.5 ,1.890 ,7.96 ,29.5,4607,631,2910
Nc1c([N+](=O)[O-])c2nc3c(=O)n([N+](=O)[O-])c(=O)n(N[N+](=O)[O-])c3nc2c2c([N+](=O)[O-])nnn12,C10H3N13O10,465.2,373.8 ,204.7 ,1.873 ,7.96 ,29.4,5181,589,3056
Nn1nc([N+](=O)[O-])c2c1c(=O)[nH]c(=O)n2N[N+](=O)[O-],C5H4N8O6,272.1,-30.5 ,213.7 ,1.872 ,7.96 ,29.3,4563,658,3004
Nc1n[nH]c(=O)n2nc([N+](=O)[O-])c(N[N+](=O)[O-])c12,C5H4N8O5,256.1,153.5 ,211.6 ,1.866 ,7.96 ,29.3,4797,655,3146
Nc1nn(N)c2c(=O)n([N+](=O)[O-])n(N[N+](=O)[O-])c(=O)c12,C5H5N9O6,287.2,15.2 ,204.5 ,1.851 ,7.96 ,29.2,4563,682,3114
Nn1nc([N+](=O)[O-])c2c(N[N+](=O)[O-])[nH]nc2c1=O,C5H4N8O5,256.1,192.2 ,219.0 ,1.846 ,7.96 ,29.1,4949,655,3246
Nn1c(=O)c([N+](=O)[O-])c(N[N+](=O)[O-])c2n[nH]nc21,C5H4N8O5,256.1,204.0 ,213.2 ,1.840 ,7.96 ,29,4995,655,3276
Nn1c([N+](=O)[O-])nc2c([N+](=O)[O-])nc(C=N[N+](=O)[O-])nc21,C6H3N9O6,297.1,368.2 ,215.7 ,1.809 ,7.96 ,28.8,5443,621,3385
Nc1nn([N+](=O)[O-])c2nc3[nH]c([N+](=O)[O-])c([N+](=O)[O-])n3c(=O)c12,C7H3N9O7,325.2,175.2 ,281.1 ,1.891 ,7.96 ,29.5,4987,602,3006
Nc1cnc2nnc([N+](=O)[O-])n2c1[N+](=O)[O-],C5H3N7O4,225.1,406.6 ,287.2 ,1.828 ,7.96 ,28.9,5607,621,3487
Nn1c(=N[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N)n(C=N[N+](=O)[O-])c1=O,C6H5N11O7,343.2,169.8 ,203.0 ,1.822 ,7.96 ,28.9,4842,669,3239
Nn1c(=N[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N)n(C=N[N+](=O)[O-])c1=O,C6H5N11O7,343.2,169.8 ,203.0 ,1.822 ,7.96 ,28.9,4842,669,3239
O=c1c2nc3c(C=N[N+](=O)[O-])cn4nnc([N+](=O)[O-])c4c3nc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C11H2N12O10,462.2,543.9 ,209.9 ,1.883 ,7.96 ,29.4,5534,557,3084
O=c1c2c([N+](=O)[O-])n[nH]c2nc2n([N+](=O)[O-])cc(N[N+](=O)[O-])n12,C7H3N9O7,325.2,235.0 ,214.7 ,1.866 ,7.96 ,29.3,5170,602,3116
O=[N+]([O-])Nc1n[nH]c2nc3c(cc12)c([N+](=O)[O-])nn3[N+](=O)[O-],C7H3N9O6,309.2,437.0 ,228.4 ,1.859 ,7.96 ,29.2,5455,597,3260
O=c1c2n[nH]c([N+](=O)[O-])c2cnn1N[N+](=O)[O-],C5H3N7O5,241.1,168.6 ,224.4 ,1.858 ,7.96 ,29.2,5065,627,3176
Nc1nn(N)c2c(=O)n(N[N+](=O)[O-])n([N+](=O)[O-])c(=O)c12,C5H5N9O6,287.2,13.3 ,204.5 ,1.852 ,7.96 ,29.1,4556,682,3110
Nc1c([N+](=O)[O-])c([N+](=O)[O-])n2nnnc2c1N,C5H4N8O4,240.1,360.8 ,289.4 ,1.850 ,7.96 ,29.1,5161,652,3369
O=c1cc([N+](=O)[O-])n2c([N+](=O)[O-])nnc2[nH]1,C5H2N6O5,226.1,133.4 ,258.0 ,1.881 ,7.96 ,29.4,5144,594,3058
O=[N+]([O-])Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])c3cn[nH]c3nc21,C7H3N9O6,309.2,439.8 ,261.5 ,1.857 ,7.96 ,29.2,5464,597,3266
Nc1nn(C=N[N+](=O)[O-])c2nc3n([N+](=O)[O-])c(C=N[N+](=O)[O-])c([N+](=O)[O-])n3c(=O)c12,C9H4N12O9,424.2,399.3 ,212.3 ,1.840 ,7.96 ,29,5332,607,3238
Nn1ncc2c([N+](=O)[O-])nn([N+](=O)[O-])c(=O)c21,C5H3N7O5,241.1,215.2 ,268.5 ,1.833 ,7.96 ,29,5257,627,3297
Nn1c([N+](=O)[O-])nc2nc(C=N[N+](=O)[O-])nc([N+](=O)[O-])c21,C6H3N9O6,297.1,358.6 ,215.7 ,1.812 ,7.96 ,28.8,5411,621,3365
Nn1nc([N+](=O)[O-])c2c(C=N[N+](=O)[O-])c3c(N[N+](=O)[O-])nn(C=N[N+](=O)[O-])c3nc21,C9H5N13O8,423.2,675.2 ,202.9 ,1.811 ,7.96 ,28.8,5585,621,3473
O=[N+]([O-])N=Cn1c([N+](=O)[O-])nc2ncnc([N+](=O)[O-])c21,C6H2N8O6,282.1,393.0 ,201.9 ,1.800 ,7.96 ,28.6,5740,595,3418
Nc1c([N+](=O)[O-])n2c(=O)c3c([N+](=O)[O-])n[nH]c3nc2n1[N+](=O)[O-],C7H3N9O7,325.2,173.3 ,275.1 ,1.891 ,7.96 ,29.5,4980,602,3002
Nc1n[nH]c2nc3c(c(N[N+](=O)[O-])nn3[N+](=O)[O-])c([N+](=O)[O-])c12,C7H4N10O6,324.2,432.8 ,233.4 ,1.857 ,7.96 ,29.2,5259,621,3270
Nc1nc2c(nc([N+](=O)[O-])n3cc([N+](=O)[O-])nc23)n1N[N+](=O)[O-],C7H4N10O6,324.2,470.4 ,284.6 ,1.842 ,7.96 ,29,5375,621,3343
O=c1c2c([N+](=O)[O-])nn(N[N+](=O)[O-])c2nc2[nH]c([N+](=O)[O-])cn12,C7H3N9O7,325.2,199.6 ,217.3 ,1.879 ,7.96 ,29.4,5062,602,3051
Nc1c([N+](=O)[O-])nn2c(=O)[nH]nc(N[N+](=O)[O-])c12,C5H4N8O5,256.1,129.8 ,219.7 ,1.878 ,7.96 ,29.4,4705,655,3086
Nc1c([N+](=O)[O-])n2c(=O)c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc2n1N,C7H4N10O7,340.2,237.1 ,278.4 ,1.863 ,7.96 ,29.2,5015,625,3137
NN=c1[nH]c([N+](=O)[O-])nc2c1n(N[N+](=O)[O-])c(=O)n2N,C5H6N10O5,286.2,197.3 ,218.5 ,1.847 ,7.96 ,29.1,4607,704,3245
Nn1nc(N[N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c2c1=O,C5H4N8O5,256.1,189.8 ,224.2 ,1.846 ,7.96 ,29.1,4939,655,3239
Nn1nc([N+](=O)[O-])c2c(N[N+](=O)[O-])n[nH]c2c1=O,C5H4N8O5,256.1,193.9 ,228.2 ,1.844 ,7.96 ,29.1,4955,655,3250
NN=c1[nH]c(C=N[N+](=O)[O-])nc2c1n(C=N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],C7H5N11O7,355.2,302.9 ,202.6 ,1.838 ,7.96 ,29,5053,646,3266
Nn1nc(N[N+](=O)[O-])c2c(C=N[N+](=O)[O-])c3c([N+](=O)[O-])nn(C=N[N+](=O)[O-])c3nc21,C9H5N13O8,423.2,663.6 ,200.6 ,1.814 ,7.96 ,28.8,5558,621,3456
Nc1nn([N+](=O)[O-])c2nc([N+](=O)[O-])n3c(=O)[nH]c(=O)n3c12,C6H3N9O6,297.1,106.2 ,257.7 ,1.923 ,7.96 ,29.8,4562,621,2837
Nn1c(=O)n([N+](=O)[O-])c2c1c(=O)[nH]c(=O)n2[N+](=O)[O-],C5H3N7O7,273.1,-247.4 ,248.2 ,1.894 ,7.96 ,29.5,4389,635,2790
Nc1c(C=N[N+](=O)[O-])c2nc3c(=O)n(N[N+](=O)[O-])c(=O)n([N+](=O)[O-])c3nc2c2c([N+](=O)[O-])nnn12,C11H4N14O10,492.2,511.0 ,200.7 ,1.882 ,7.96 ,29.4,5222,591,3089
Nn1nc(N[N+](=O)[O-])c2c(=O)n([N+](=O)[O-])[nH]c(=O)c21,C5H4N8O6,272.1,-10.2 ,202.5 ,1.860 ,7.96 ,29.2,4637,658,3053
NN=c1[nH]c(=O)n(N[N+](=O)[O-])c2c1ncn2[N+](=O)[O-],C5H5N9O5,271.2,195.9 ,210.3 ,1.844 ,7.96 ,29,4772,681,3252
Nc1nn2c([N+](=O)[O-])nc([N+](=O)[O-])c2c(=O)n1N,C5H4N8O5,256.1,193.1 ,282.3 ,1.844 ,7.96 ,29,4952,655,3248
Nc1nn([N+](=O)[O-])c2nc3c(c(N)nn3[N+](=O)[O-])c(N[N+](=O)[O-])c12,C7H5N11O6,339.2,475.6 ,230.2 ,1.839 ,7.96 ,29,5220,643,3361
O=[N+]([O-])Nc1cnc([N+](=O)[O-])c2[nH]nnc12,C5H3N7O4,225.1,399.8 ,223.7 ,1.830 ,7.96 ,28.9,5577,621,3468
NN=c1c2c(nc([N+](=O)[O-])n2C=N[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n1C=N[N+](=O)[O-],C8H5N13O9,427.2,297.9 ,201.4 ,1.813 ,7.96 ,28.8,5111,642,3282
NN=c1c2c(nc([N+](=O)[O-])n2C=N[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n1C=N[N+](=O)[O-],C8H5N13O9,427.2,297.9 ,201.4 ,1.813 ,7.96 ,28.8,5111,642,3282
O=c1n(C=N[N+](=O)[O-])c(=O)n2c3c(C=N[N+](=O)[O-])n[nH]c3nc([N+](=O)[O-])n12,C8H3N11O8,381.2,226.8 ,210.9 ,1.895 ,7.96 ,29.5,4905,602,2954
Nn1c(=O)n(N[N+](=O)[O-])c(=O)c2c1[nH]c(=O)n2[N+](=O)[O-],C5H4N8O7,288.1,-238.5 ,215.2 ,1.890 ,7.96 ,29.5,4271,660,2822
Nn1c(=O)n([N+](=O)[O-])c2c(=O)[nH]c(=O)n([N+](=O)[O-])c21,C5H3N7O7,273.1,-239.1 ,246.6 ,1.889 ,7.96 ,29.4,4420,635,2809
Nn1c(=O)c2[nH]c(=O)n(N[N+](=O)[O-])c2n(N[N+](=O)[O-])c1=O,C5H5N9O7,303.2,-197.7 ,214.8 ,1.872 ,7.96 ,29.3,4269,683,2917
Nc1c([N+](=O)[O-])c(N)c2nnnn2c1[N+](=O)[O-],C5H4N8O4,240.1,351.0 ,305.2 ,1.853 ,7.96 ,29.1,5120,652,3343
Nc1nc2nnc([N+](=O)[O-])n2c([N+](=O)[O-])c1N,C5H4N8O4,240.1,357.3 ,302.5 ,1.850 ,7.96 ,29.1,5146,652,3360
NN=c1c2c(nc(C=N[N+](=O)[O-])n2[N+](=O)[O-])[nH]c(=O)n1C=N[N+](=O)[O-],C7H5N11O7,355.2,297.6 ,209.0 ,1.839 ,7.96 ,29,5038,646,3256
NN=c1c2c(nc(C=N[N+](=O)[O-])n2[N+](=O)[O-])[nH]c(=O)n1C=N[N+](=O)[O-],C7H5N11O7,355.2,297.6 ,209.0 ,1.839 ,7.96 ,29,5038,646,3256
O=c1cc([N+](=O)[O-])n2cnnc2n1N[N+](=O)[O-],C5H3N7O5,241.1,217.2 ,206.3 ,1.831 ,7.96 ,28.9,5266,627,3302
Nc1cnn2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],C5H3N7O4,225.1,423.3 ,277.8 ,1.817 ,7.96 ,28.8,5681,621,3533
O=c1n([N+](=O)[O-])c(=O)n2c3cn[nH]c3nc([N+](=O)[O-])n12,C6H2N8O6,282.1,111.7 ,245.8 ,1.924 ,7.96 ,29.7,4743,595,2824
O=c1[nH]c2nc3c(nc2c(=O)n1[N+](=O)[O-])c([N+](=O)[O-])c(C=N[N+](=O)[O-])n1nnc([N+](=O)[O-])c31,C11H2N12O10,462.2,450.3 ,222.2 ,1.906 ,7.96 ,29.6,5331,557,2971
O=c1c2c(ncn1[N+](=O)[O-])[nH]c(=O)n2[N+](=O)[O-],C5H2N6O6,242.1,-72.3 ,226.2 ,1.894 ,7.96 ,29.5,4768,601,2867
Nc1nn(N)c2nc3c(c([N+](=O)[O-])nn3N[N+](=O)[O-])c([N+](=O)[O-])c12,C7H5N11O6,339.2,482.1 ,281.7 ,1.835 ,7.96 ,28.9,5239,643,3373
N=c1c2nc(N)n([N+](=O)[O-])c2nc([N+](=O)[O-])n1C=N[N+](=O)[O-],C6H4N10O6,312.2,334.7 ,200.3 ,1.820 ,7.96 ,28.8,5147,645,3324
O=[N+]([O-])Nc1nnc2n1c1nncn1c1nnc([N+](=O)[O-])n12,C6H2N12O4,306.2,856.4 ,229.4 ,1.817 ,7.96 ,28.8,5517,621,3431
Nc1nc2c([N+](=O)[O-])c(C=N[N+](=O)[O-])nc([N+](=O)[O-])n2n1,C6H3N9O6,297.1,357.0 ,206.0 ,1.811 ,7.96 ,28.7,5406,621,3362
