Ro,smiles
1.3103,Nc1ccc(cc1/N=C/c1ccc(cc1)N(C)C)[N+](=O)[O-]
1.3589,CCOC(=O)C1=C(C)OC(=C([C@H]1c1ccc(cc1)[N+](=O)[O-])C#N)N
1.4535,O=[N+](c1ccccc1)/C=C/1\C=CC(=[O+]1)[N+](=O)[O-]
1.5219,[O-][N+](=O)[C@@H]1[C@H]2[C@@H]3[C@@H]4C[C@H]2[C@@H]2[C@H]1[C@H]([C@H]3[N+](=O)[O-])[C@H]42
1.3163,CN(/C(=N\c1ccc(cc1)[N+](=O)[O-])/N(c1ccccc1)C)C
1.2488,CN(c1ccc(cc1)C(=C)c1ccc(cc1)[N+](=O)[O-])C
1.4166,CC1=NN(C(=O)/C/1=N\Nc1ccc(cc1)[N+](=O)[O-])c1ccccc1
1.4394,CCOC(=O)C1=C(C)NC(=O)N[C@@H]1c1cccc(c1)[N+](=O)[O-]
1.7385,[O-][N+](=O)N1CN(CC2(C1)CN(CN(C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
1.3512,Cc1ccccc1NC(=O)c1ccccc1[N+](=O)[O-]
1.4089,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
1.5292,[O-][N+](=O)c1cc(ccc1C(=O)c1ccccn1)[N+](=O)[O-]
1.4636,CCOC(=O)c1cn(nc1C)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1.3169,Cc1cc(nc(c1)C)NC(=O)[C@@H](c1ccc(cc1)[N+](=O)[O-])C
1.3844,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
1.398,N#C/C(=C\c1ccccc1OC)/[N+](=O)[O-]
1.4605,OC[C@H]1O[C@H](C[C@@H]1O)n1ccc2c1c(ccc2)[N+](=O)[O-]
1.8935,NC(=C([N+](=O)[O-])[N+](=O)[O-])N
1.7088,O=NN1CN(CCN(C1)[N+](=O)[O-])[N+](=O)[O-]
1.3137,N#C/C(=C\c1ccccc1)/c1cc(C)nc(c1[N+](=O)[O-])C
1.3126,[O-][N+](=O)[C@H]1C(=O)NC(=C[C@@H]1c1ccccc1)c1ccccc1
1.4219,N=C1OC2(CCCC2)Nc2c1cc(cc2)[N+](=O)[O-]
1.3714,CCOC(=O)/C(=C/c1ccccc1[N+](=O)[O-])/C#N
1.5874,ONc1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
1.5422,NC(=O)NNC(=O)c1ccc(cc1)[N+](=O)[O-]
1.9155,[O-][N+](=O)c1n[nH]c(=O)[nH]1
1.318,COc1c(O)ccc(c1[N+](=O)[O-])/C=N/c1cc(C)cc(c1)C
1.5644,[O-][n+]1ccc(cc1)[N+](=O)[O-]
1.3603,OC[C@@H]1N[C@@H]1c1ccc(cc1)[N+](=O)[O-]
1.381,CN1N=C([C@@H]2C[C@@]1(O)CCC2)c1cccc(c1)[N+](=O)[O-]
1.6363,[O-][N+](=O)N1CN(CN(CN(C1)C(=O)C)[N+](=O)[O-])C(=O)C
1.3673,O=C1CCCCN1c1ccc(cc1)[N+](=O)[O-]
1.4365,C[C@@H]([C@H](c1ccc(cc1)[N+](=O)[O-])O)[N+](=O)[O-]
1.5533,[O-][N+](=O)C(C([N+](=O)[O-])(C)C)([N+](=O)[O-])C
1.5402,[O-][N+](=O)c1cc(ccc1[N+](=O)[O-])Cn1nncc1
1.592,Oc1ccc(cc1n1cnnn1)[N+](=O)[O-]
1.669,[O-][N+](=O)c1n[nH]cn1
1.3879,COc1ccc(cc1)C(=O)N/N=C/c1ccccc1[N+](=O)[O-]
1.3639,CC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
1.4183,COc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
1.6593,[O-][N+](=O)C1=C(C)[N+](=O)O[N-]1
1.4292,C/C(=C\c1ccccc1[N+](=O)[O-])/[N+](=O)[O-]
1.4492,COc1ccc(c(c1)[N+](=O)[O-])C#N
1.3144,C#CCN(c1ccc(cc1)C)Cc1ccc(o1)[N+](=O)[O-]
1.6876,O/N=C/1\Oc2c(C1=O)cc(cc2)[N+](=O)[O-]
1.3898,[O-][N+](=O)c1cc(ccc1N/N=C/1\C[C@H]2C[C@@H]1c1c2cccc1)[N+](=O)[O-]
1.3137,O=C(Cc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
1.4162,Cc1ccc(cc1)/[NH+]=C/1\C=CC(=C[N+]1=O)[N+](=O)[O-]
1.4428,CC(=O)O/N=C/c1cccc(c1)[N+](=O)[O-]
1.4434,N#C/C(=N\Nc1ccccc1[N+](=O)[O-])/C(=O)C
