smiles,Td
O=[N+](C1=NN(CN=[N+]=[N-])C2=C1N(CN=[N+]=[N-])N=C2[N+]([O-])=O)[O-],198
NN1C=C([N+]([O-])=O)C([N+]([O-])=O)=N1,241
O=[N+](N(CN1C([N+]([O-])=O)=CC([N+]([O-])=O)=N1)CN2C([N+]([O-])=O)=CC([N+]([O-])=O)=N2)[O-],250
[O-][N+](ON=C1C2=C([N+]([O-])=O)C=C(C=C2)C3=NO[N+]([O-])=C3[N+]([O-])=O)=C1[N+]([O-])=O,198.8
Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],350
CN[N+]([O-])=O,86
O=[N+](C1=NNN=C1N[N+]([O-])=O)[O-],130
Nc1nonc1Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],241.17
NN1C(CN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2[N+]([O-])=O)=NN=C1CN3N=C([N+]([O-])=O)C([N+]([O-])=O)=C3[N+]([O-])=O,213
O=[N+]([O-])NCC(CN[N+](=O)[O-])(CN[N+](=O)[O-])CN[N+](=O)[O-],183
O=[N+](/C([N+]([O-])=O)=C1NN=C(N\1)C(N/2)=NNC2=C([N+]([O-])=O)/[N+]([O-])=O)[O-],121
O=[N+](C1=C([N+]([O-])=O)C([N+]([O-])=O)=C([N+]([O-])=O)C=C1[N+]([O-])=O)[O-],220
CN(C([N+]([O-])=O)=C1N)N=C1[N+]([O-])=O,270
NC1=[NH+]N=C(/N=N/C2=N[NH+]=C(N)N2[N-][N+]([O-])=O)N1[N-][N+]([O-])=O,167
NC1=NC([N+]([O-])=O)=NN1C2=NC([N+]([O-])=O)=NN2,252
[H][C@]12CCCC[C@]1([H])N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N2[N+]([O-])=O,120
O=[N+]([O-])OCc1nc([N+](=O)[O-])n[nH]1,163.18
O=[N+](C1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CC2=NN=NN2)[O-],155
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)C)N,192
O=[N+](C1=NNC([N+]([O-])=O)=C1)[O-],199
NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CC2=NO/C(N2)=N/[N+]([O-])=O,201
NN1C(N)=NC([N+]([O-])=O)=N1,244
C[C@H]1CNC(=C([N+](=O)[O-])[N+](=O)[O-])N1,237.83
NC1=C([N+]([O-])=O)N(CN([N+]([O-])=O)CN2C([N+]([O-])=O)=C(N)C([N+]([O-])=O)=N2)N=C1[N+]([O-])=O,232
O=[N+](C1=NNC(NC2=NN=C(NC3=NC([N+]([O-])=O)=NN3)N=N2)=N1)[O-],283.6
CC1=NON=C1C2=C([N+]([O-])=O)C([N+]([O-])=O)=NN2C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,141
O=[N+](C1=NN(CCN2N=NN/C2=N/[N+]([O-])=O)C=C1[N+]([O-])=O)[O-],157
O=C(OC1N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)C1OC(C)=O)C,118
O=[N+](NC1=NON=C1C2=NON=C2N[N+]([O-])=O)[O-],80
NC1=C([N+]([O-])=O)C(C#N)=C([N+]([O-])=O)C(C#N)=C1[N+]([O-])=O,202
NC1=C(N=NN2)C2=C(C(N)=C1[N+]([O-])=O)[N+]([O-])=O,322
O=[N+](C1=NNN=C1C2=NN=NN2)[O-],188
CC1=NC(C2=NON=C2N[N+]([O-])=O)=NO1,158
CN(CC#N)[N+](=O)[O-],193
O=[N+]([O-])c1cn(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])cn1,139
O=[N+](C1=NNC=C1)[O-],231
O=[N+](C1=NNN=C1NC2=NN=NN2)[O-],308
O=[N+]([O-])C(CNc1nonc1C1=NOC(c2nonc2NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])=NO1)([N+](=O)[O-])[N+](=O)[O-],203
N/C(NN)=C([N+]([O-])=O)\[N+]([O-])=O,124
O=[N+]([O-])c1c(-n2cncn2)c(-n2cncn2)c(-n2cncn2)c([N+](=O)[O-])c1-n1cncn1,249.5
O=[N+](C1=CC2=C(N/C(N2)=N/[N+]([O-])=O)C=C1[N+]([O-])=O)[O-],250
NC1=NN=NN1CCN(C(N)=C2[N+]([O-])=O)N=C2[N+]([O-])=O,239
[O-]/[N+](C1=NON=C1N[N+]([O-])=O)=N\C2=NON=C2N[N+]([O-])=O,67
O=[N+]([O-])C(COc1nc(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1)([N+](=O)[O-])[N+](=O)[O-],169.5
[O-][N+]1=C(C2=[N+]([O-])ON=C2[N+]([O-])=O)C([N+]([O-])=O)=NO1,140
O=[N+](OCC(CO[N+]([O-])=O)O[N+]([O-])=O)[O-],197
O=[N+](NC1=NNC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=C1[N+]([O-])=O)[O-],124
O=[N+](C1=NN(N[N+]([O-])=O)C(C2=NC([N+]([O-])=O)=NN2N[N+]([O-])=O)=N1)[O-],121
O=[N+]([O-])c1nonc1N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],135
NC1=NC(CN2C([N+]([O-])=O)=C([N+]([O-])=O)C([N+]([O-])=O)=N2)=NO1,201
O=[N+](C1([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C1)[O-],188
O/C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N\[N+]([O-])=O,111
NC1=NC2=C([N+]([O-])=O)N=NN2N=C1C#N,196
O=[N+](CC1=NN=C(O1)C2=NN=C(C[N+]([O-])=O)O2)[O-],180.7
NN/C(N)=N/[N+]([O-])=O,184
[O-][N+]1=C(C(N=[N+]=[N-])=NO1)C2=[N+]([O-])ON=C2[N+]([O-])=O,112.7
O=C(CC(NC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)=O)NC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,104
O=[N+](C(CNC1=NON=C1NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],154.2
O=[N+](/C([N+]([O-])=O)=C(NCN/1)\NC1=C([N+]([O-])=O)/[N+]([O-])=O)[O-],135
Nc1c([N+](=O)[O-])nn(-c2c([N+](=O)[O-])nn(N)c2[N+](=O)[O-])c1[N+](=O)[O-],284
[N-]=c1oc([C+]([N+](=O)[O-])[N+](=O)[O-])nn1N,143
[O-][N+](ON=C1[N+]([O-])=O)=C1C#N,132.85
O=[N+](C1=NON=C1C2=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=C2[N+]([O-])=O)[O-],134
[N-]=[N+]=NC1=NC(N[N+]([O-])=O)=NC(N=[N+]=[N-])=N1,153
O=[N+]([O-])c1cc([N+](=O)[O-])c(/C=C/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,310
OC(C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)=C1[N+]([O-])=O,159
NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CCN(N=NN/2)C2=N\[N+]([O-])=O,152
CN1N=C([N+]([O-])=O)N=N1,150
[N-]=[N+]=Nc1n[nH]nc1[N+](=O)[O-],149
O=[N+](C1=NOC(NC(N=N2)=NN3C2=NN=C3[N+]([O-])=O)=N1)[O-],209.5
O=[N+](C(CN=CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],135
O/N=C(N=[N+]=[N-])/C1=NNC([N+]([O-])=O)=N1,124
OCC1=NN=C(CO)N1NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,129
O=[N+](OCN1C2=NON=C2N(CO[N+]([O-])=O)C3=NON=C13)[O-],196
O=C(OC1N/C(NC1OC(C)=O)=C([N+]([O-])=O)\[N+]([O-])=O)C,165
CN1C(N[N+]([O-])=O)=NC([N+]([O-])=O)=N1,108
[O-][N+](ON=C1[N+]([O-])=O)=C1C(N)=O,113.27
O=[N+](C1=NN(COCN2N=NC([N+]([O-])=O)=N2)N=N1)[O-],203
NC1=NN=NN1C2=NC([N+]([O-])=O)=NN2,239
O=[N+](C1=NN2C(C3=NC([N+]([O-])=O)=NN3CC2)=N1)[O-],307
NN1C2=C([N+]([O-])=O)C([N+]([O-])=O)=NN2CN3N=C([N+]([O-])=O)C([N+]([O-])=O)=C13,242
O=[N+](C1=NNN=C1C2=NC(N=NC3=NNC(C4=NNN=C4[N+]([O-])=O)=N3)=NN2)[O-],209.2
[N-]=[N+]=NC1=NC(C2=NC([N+]([O-])=O)=NN2)=NN1,180.7
O=[N+](C1=NC(C2=NON=C2[N+]([O-])=O)=NN1)[O-],191
CN([N+]([O-])=O)CN([N+]([O-])=O)C,168.7
[O-]C1=C([N+]#N)C([N+]([O-])=O)=NN1CN2C([O-])=C([N+]#N)C([N+]([O-])=O)=N2,225.6
NC1=C([N+]([O-])=O)N(N=C1[N+]([O-])=O)CC2=NN=C(CN3N=C([N+]([O-])=O)C(N)=C3[N+]([O-])=O)N2/N=N/N4C(CN5N=C([N+]([O-])=O)C(N)=C5[N+]([O-])=O)=NN=C4CN6N=C([N+]([O-])=O)C(N)=C6[N+]([O-])=O,214
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)C1=NON=C1NC2=NN=C(NC3=NON=C3N([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=N2)[O-],144
O=[N+](C1=NN(CC2=NN=NN2)N=N1)[O-],214
O=[N+](C1=NN(CC#N)N=N1)[O-],210
O=[N+]([O-])N1C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])=NC2CCCCC21,120.16
O=[N+](OCC1(CO[N+]([O-])=O)CC(CO[N+]([O-])=O)(CO[N+]([O-])=O)C1)[O-],196
NC1=NN=NN1CCN(C=C2)N=C2[N+]([O-])=O,254
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)N1N=C([N+]([O-])=O)N=C1C2=NNC=N2)[O-],172
[O-]/[N+](C1=NON=C1[N+]([O-])=O)=N\[N+]([O-])=O,109
O=[N+]([O-])/N=[N+](\[O-])c1nonc1/N=N/c1nonc1/[N+]([O-])=N/[N+](=O)[O-],83
O=[N+](N(CCN(C1=NON=C1C2=NN=NN2)[N+]([O-])=O)C3=NON=C3C4=NN=NN4)[O-],163
O=[N+](NC1=NNC(C2=NON=C2[N+]([O-])=O)=N1)[O-],163
O=[N+]([O-])N1C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])=NC2OCCOC21,134.92
Nn1cc([N+](=O)[O-])nc1-c1nc([N+](=O)[O-])cn1N,308
NC1=NN=NN1CC2=NNC(N[N+]([O-])=O)=N2,204
O=[N+](C(C=C([N+]([O-])=O)C=C1[N+]([O-])=O)=C1/C=N\NC2=NN=C(N/N=C\C3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3[N+]([O-])=O)N=N2)[O-],184.2
O=[N+](C1=NN(COCN2N=C(N=C2)[N+]([O-])=O)C=N1)[O-],320
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,284
O=[N+](C1=NNN=C1C2=NC([N+]([O-])=O)=NN2)[O-],210.5
NC1=C([N+]([O-])=O)N(CCN2N=C([N+]([O-])=O)C(N)=C2[N+]([O-])=O)N=C1[N+]([O-])=O,311
Nn1cnc([N+](=O)[O-])c1,237
NC1=NC([N+]([O-])=O)=NN1CC2=NN=NN2,242
[O-]C1=N[N+](C2=CC=CC([N+]([O-])=O)=C2)=NO1,237
O=[N+](/N=C1NN=C2NC=NN2\1)[O-],169
O=[N+](C(C([N+]([O-])=O)=NN1)=C1C2=NN=C(C3=NN=C(C4=C([N+]([O-])=O)C([N+]([O-])=O)=NN4)O3)O2)[O-],265
O=[N+](NC1=NNC(C2=NN=C(C3=NC(N[N+]([O-])=O)=NN3)N=N2)=N1)[O-],162
[O-][N+]1=C2C(N)=C([N+]([O-])=O)C(N)=C([N+]([O-])=O)C2=NO1,289.3
CN1C(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN=N1,143
O=[N+](C(CNCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],123
[O-]/[N+](C1=NON=C1N[N+]([O-])=O)=N\C,140.4
O=[N+](C(COC1=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NC(OC)=N1)([N+]([O-])=O)[N+]([O-])=O)[O-],173.07
NN1N=C([N+]([O-])=O)C([N+]([O-])=O)=C1C2=C([N+]([O-])=O)C([N+]([O-])=O)=NN2N,252
O=[N+](C1=NON=C1C2=C([N+]([O-])=O)C([N+]([O-])=O)=NN2C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],134
O=[N+](C1=C(C([N+]([O-])=O)=NN1)C2=NC(C3=C([N+]([O-])=O)NN=C3[N+]([O-])=O)=NN2)[O-],300
O=[N+](C1=CNN=C1C2=NN=C(C3=NN=C(C4=NNC=C4[N+]([O-])=O)O3)O2)[O-],368
NC1=[NH+]N=NN1[N-][N+]([O-])=O,113
CN(CC(N)=O)[N+]([O-])=O,186
O=[N+](NN1C(NN2N=NN=C2)=NN=C1)[O-],177
[N-]=[N+]=NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2N=[N+]=[N-],111.3
O=[N+](NC1=NN=C(CCC2=NN=C(N[N+]([O-])=O)O2)O1)[O-],215
NC1=C([N+]([O-])=O)C2=NN=NN2N=C1N,293
O=[N+](C(COCOCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],195
O=C(N[N+]([O-])=O)OC1C(OC(N[N+]([O-])=O)=O)C([N+]([O-])=O)C(OC(N[N+]([O-])=O)=O)C(OC(N[N+]([O-])=O)=O)C1[N+]([O-])=O,160
O=[N+](C1=C(C2=NC([N+]([O-])=O)=NN2)NN=C1C3=NC([N+]([O-])=O)=NN3)[O-],238.2
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2cncn2)c([N+](=O)[O-])c1,256
O=[N+](C1=C(/C=N/NC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],208
CC(CN/1)NC1=C([N+]([O-])=O)/[N+]([O-])=O,237.83
O=[N+](/C([N+]([O-])=O)=C1NC2C(CCCC2)N/1)[O-],235.36
NC1=NN=NN1CCN(C=N2)N=C2[N+]([O-])=O,255
O=[N+](C([N+]([O-])=O)C1=C([N+]([O-])=O)NN=C1)[O-],117
CC(=O)O[C@H]1NC(=C([N+](=O)[O-])[N+](=O)[O-])N[C@@H]1OC(C)=O,165.36
O=[N+](OCC1=C(CO[N+]([O-])=O)N(CCN2C(CO[N+]([O-])=O)=C(CO[N+]([O-])=O)N=N2)N=N1)[O-],150
O=[N+]([O-])c1nc(-c2nc([N+](=O)[O-])nn2C([N+](=O)[O-])[N+](=O)[O-])n(C([N+](=O)[O-])[N+](=O)[O-])n1,166
O=[N+]([O-])C(c1nc(Cc2noc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n2)no1)([N+](=O)[O-])[N+](=O)[O-],117
CN([N+]([O-])=O)CN1C(N2C=C([N+]([O-])=O)C([N+]([O-])=O)=N2)=C([N+]([O-])=O)C=N1,264
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NNC(C2=NON=C2/N=N/C3=NON=C3C4=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN4)=N1)[O-],144
O=[N+](C1=NON=C1C2=NN=NN2)[O-],215
O=[N+](C1=C(OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)C=CC([N+]([O-])=O)=C1)[O-],184.2
O=C(NN1C=NN=C1N[N+]([O-])=O)C2=NN=C(N[N+]([O-])=O)N2,205
[N-]=[N+]=NCC(CN=[N+]=[N-])(CN=[N+]=[N-])NC(=O)N[N+](=O)[O-],79
NC1=C([N+]([O-])=O)C(N/C(N)=N\[N+]([O-])=O)=C([N+]([O-])=O)C(N)=C1[N+]([O-])=O,287
O=[N+](C1=CN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C1[N+]([O-])=O)[O-],141
O=[N+](N(CCN(C1=NON=C1C2=NOC=N2)[N+]([O-])=O)C3=NON=C3C4=NOC=N4)[O-],175
O=[N+]([O-])Nc1nonc1/[N+]([O-])=N\c1nonc1/N=N\c1nonc1/N=[N+](/[O-])c1nonc1N[N+](=O)[O-],120
O=[N+](N1C2=NON=C2N(COC(C)=O)C3N([N+]([O-])=O)C4=NON=C4N(COC(C)=O)C31)[O-],210
O=[N+](OC1COC1)[O-],153
NC1=NC2=C([N+]([O-])=O)N=NN2N=C1N=[N+]=[N-],166
O=[N+](C(C=C([N+]([O-])=O)C=C1[N+]([O-])=O)=C1C2=NN=C(C3=NN=C(C4=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C4[N+]([O-])=O)O3)O2)[O-],229.5
NC1=NN=C2N=NC(NC3=NON=C3[N+]([O-])=O)=NN21,249.5
O=[N+](N(CN1C([N+]([O-])=O)=C(N=[N+]=[N-])C([N+]([O-])=O)=N1)CN2C([N+]([O-])=O)=C(N=[N+]=[N-])C([N+]([O-])=O)=N2)[O-],166
O=[N+](/N=C1NN=NN\1)[O-],122
O=[N+](OCC1=NOC(C2=NC(CO[N+]([O-])=O)=NO2)=N1)[O-],156.96
NN1N=C([N+]([O-])=O)C([N+]([O-])=O)=N1,190
OCC1=NN/C(O1)=N/[N+]([O-])=O,187.39
O=[N+](N[C@@H]1N([N+]([O-])=O)CCN([N+]([O-])=O)[C@H]1N[N+]([O-])=O)[O-],140
O=[N+](/C([N+]([O-])=O)=C1NCN([N+]([O-])=O)CN\1)[O-],158
CN([N+]([O-])=O)CN1C=C([N+]([O-])=O)N=C1[N+]([O-])=O,183
CC1=[N+]([O-])ON=C1/C=N/N/C(N)=N/[N+]([O-])=O,195.5
O=[N+](NC1=NON=C1N[N+]([O-])=O)[O-],99
O=[N+]([O-])c1ncn(CN(Cn2cnc([N+](=O)[O-])c2[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],234
O=[N+](C1=NON=C1C2=NOC(C3=NON=C3[N+]([O-])=O)=N2)[O-],272
O=[N+](C1=NN=C(NN2N=NN=C2)N1)[O-],186
CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)C([N+]([O-])=O)=C1,234
O=C(C(NNCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)NNCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,148
CN1C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NC(/N=N/C2=NN(C)C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N2)=N1,165
[O-][N+]1=NC2=NN=C([N+]([O-])=O)N2N=C1N,220
[N-]=[N+]=Nc1nc(CO[N+](=O)[O-])n[nH]1,145.81
N/C(N)=N\C1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1[N+]([O-])=O,232
O=[N+](N1C=CC(C2=NN([N+]([O-])=O)C=C2)=N1)[O-],183
NN1C=C([N+]([O-])=O)C(N2N=NN=C2)=N1,246
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NCN([N+]([O-])=O)CN1)[O-],136
[O-][N+]1=C2C=C([N+]([O-])=O)C=C([N+]([O-])=O)C2=NO1,205.3
O=[N+](NN1C(C2=NN=NN2N[N+]([O-])=O)=NN=N1)[O-],107
O=[N+](C1=NN(CC2=NN=NN2)C(N[N+]([O-])=O)=N1)[O-],149
[O-][N+]1=C(NC(N)=N)[N+]([O-])=NC([N+]([O-])=O)=N1,134
NC1=NC(C2=NNN=C2[N+]([O-])=O)=NN1,263.32
[O-][N+]1=C(C([N+]([O-])=O)=NO1)C2=NON=C2[N+]([O-])=O,140
Cc1ccc([N+]([O-])=N[N+](=O)[O-])cc1[N+]([O-])=N[N+](=O)[O-],139.5
O=[N+](/N=C1OC(C2=NN/C(O2)=N\[N+]([O-])=O)=NN/1)[O-],200
O=C(C1=NC([N+]([O-])=O)=NN1C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C2=NC([N+]([O-])=O)=NN2C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,164
O=[N+](OC(C(C(CO[N+]([O-])=O)O[N+]([O-])=O)O[N+]([O-])=O)CO[N+]([O-])=O)[O-],174.3
O=[N+](N(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCN(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[O-],127
O=[N+](C1=C(C([N+]([O-])=O)=NN1C[N+]([O-])=O)[N+]([O-])=O)[O-],202
O=[N+](N=C1NNC(N/C(NN2)=C([N+]([O-])=O)/[N+]([O-])=O)C2N1)[O-],123.4
Nc1c([N+](=O)[O-])nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn12,246
O=[N+](N1C2C(N([N+]([O-])=O)C13)N([N+]([O-])=O)C(N([N+]([O-])=O)C3N4[N+]([O-])=O)C4N2CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],212
O=[N+](C1=CN(COCN2N=C(C([N+]([O-])=O)=C2)[N+]([O-])=O)N=C1[N+]([O-])=O)[O-],298
O=[N+](OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)[O-],175
[O-]/[N+](C1=NON=C1[N+]([O-])=O)=N\N2N=C([N+]([O-])=O)N=C2,227
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NC2=NON=C2N=C1NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],190
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NNC(C2=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN2)=N1)[O-],148
NN1C(N)=C([N+]([O-])=O)C([N+]([O-])=O)=N1,254
NN1C(N(C=N2)N=C2[N+]([O-])=O)=NC([N+]([O-])=O)=N1,242
O=[N+](OCC(O[N+]([O-])=O)C(CO[N+]([O-])=O)O[N+]([O-])=O)[O-],167
CN([N+]([O-])=O)C[N+]1=NN([O-])C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C21,147
NC(C([N+]([O-])=O)=NN1N)=C1[N+]([O-])=O,241
CN([N+]([O-])=O)CN(N=NN/1)C1=N\[N+]([O-])=O,119
N/C(NC(C)C)=N\[N+]([O-])=O,189.1
O=[N+](C1=C(NC2=NC(N=[N+]=[N-])=NC(N=[N+]=[N-])=N2)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],161
O=[N+](NC1=NN=C2N=NC(NC3=NON=C3N[N+]([O-])=O)=NN21)[O-],125
[O-]/[N+](C1=NON=C1/[N+]([O-])=N/[N+]([O-])=O)=N\[N+]([O-])=O,91.82
[O-]N1C2=C(N)C([N+]([O-])=O)=C(N)C([N+]([O-])=O)=C2[NH+]=N1,257
NC1=NN=NN1CCO[N+]([O-])=O,163
[O-]C1=C([N+]#N)C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C([N+]#N)=C2[O-],247
ON1N=C([N+]([O-])=O)C([N+]([O-])=O)=C1[N+]([O-])=O,146
NC1=NN/C(O1)=N/[N+]([O-])=O,153
NC1=C([N+]([O-])=O)C(N)=C([N+]([O-])=O)C(N2C3=NON=C3C4=NON=C4C5=NON=C25)=C1[N+]([O-])=O,290
N#[N+]C1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N[N-]1,127
O=C(NC(N[N+]([O-])=O)=O)NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,114
O=[N+](C(CN([N+]([O-])=O)C1=NON=C1C2=NOC(C3=NC(C4=NON=C4N([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO3)=N2)([N+]([O-])=O)[N+]([O-])=O)[O-],151.5
ON1N=C([N+]([O-])=O)N=C1C2=NC([N+]([O-])=O)=NN2O,191
CC1=CC(C)=NC2=NC([N+]([O-])=O)=NN12,269
NC1=C([N+]([O-])=O)N=NN1C2=NN=NN2,233
O=[N+](C1([N+]([O-])=O)[C@@H]2C[C@H](C[C@H]1C3([N+]([O-])=O)[N+]([O-])=O)C([N+]([O-])=O)([N+]([O-])=O)[C@H]3C2)[O-],254
O=[N+](C1=NNC(C2=CC([N+]([O-])=O)=NN2)=C1)[O-],376
O=[N+](/N=C1N(CC2=NN=NN2)N=NN/1)[O-],178
O=[N+](C1=CNN=C1C2=NC([N+]([O-])=O)=NN2)[O-],278
O=[N+](C1=NNC(/N=N/C2=NC([N+]([O-])=O)=NN2)=N1)[O-],289
O=[N+](C(CNC1=NNC=N1)([N+]([O-])=O)[N+]([O-])=O)[O-],133
O=C(N/N=C/C1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1[N+]([O-])=O)N/N=C/C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O,203
N=C(N/N=C/C1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1[N+]([O-])=O)N/N=C/C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O,180
O=[N+](C1=NNC(C2=C([N+]([O-])=O)C([N+]([O-])=O)=NN2)=C1[N+]([O-])=O)[O-],243
O=[N+](OC1(CC2(O[N+]([O-])=O)C3)CC(C2)(O[N+]([O-])=O)CC3(O[N+]([O-])=O)C1)[O-],173
O=[N+](C1=NN=C([C-]1[N+]#N)[N+]([O-])=O)[O-],154
CN([N+]([O-])=O)CNC(NCN([N+]([O-])=O)C)=O,162
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C1=C([N+]([O-])=O)C=C(C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)C([N+]([O-])=O)=C1,192.5
O=[N+](C1([N+]([O-])=O)[C@@H]2N([N+]([O-])=O)[C@H]3C([N+]([O-])=O)([N+]([O-])=O)[C@H](N([N+]([O-])=O)[C@@H]1C3)C2)[O-],235
O=[N+]([O-])c1n[nH]c(CO)n1,187.39
O=[N+](C1=NN(N[N+]([O-])=O)C2=C1N(N[N+]([O-])=O)N=C2[N+]([O-])=O)[O-],128
O=[N+](OCCC1=CC(C2=NOC(CCO[N+]([O-])=O)=C2)=NO1)[O-],200
NC1=C([N+]([O-])=O)N=C([N+]([O-])=O)N1N,190
O=C(NCNC(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,199
NC1=NON=C1C2=NC(N[N+]([O-])=O)=NN2,195
O=[N+](C1=NN(CCN2N=C([N+]([O-])=O)N=C2N[N+]([O-])=O)C(N[N+]([O-])=O)=N1)[O-],107
O=[N+](NC1=NNC(C2=NON=C2/N=N\C3=NON=C3C4=NC(N[N+]([O-])=O)=NN4)=N1)[O-],174
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],300
